,tweet,brand,sentiment,lemmatization,polarity
27,new 4sq3 looks like going rock update iphone android push tonight sxsw keepaustinweird,Google,Positive emotion,new 4sq3 look like going rock update iphone android push tonight sxsw keepaustinweird,0.13636363636363635
28,right 3 app android sweeeeet nice job team sxsw,Google,Positive emotion,right 3 app android sweeeeet nice job team sxsw,0.44285714285714284
29,smart hollergram ipad app sxsw may leave vuvuzela home,Apple,Positive emotion,smart hollergram ipad app sxsw may leave vuvuzela home,0.21428571428571427
30,must app ipad going sxsw hollergram,Apple,Positive emotion,must app ipad going sxsw hollergram,0.0
31,attn sxsw frineds register gdgtlive see cobra iradar android,Google,Positive emotion,attn sxsw frineds register gdgtlive see cobra iradar android,0.0
32,anyone sxsw want sell old ipad,Apple,No emotion toward brand or product,anyone sxsw want sell old ipad,0.1
33,anyone sxsw bought new ipad want sell older ipad,Apple,No emotion toward brand or product,anyone sxsw bought new ipad want sell older ipad,0.1515151515151515
34,sxsw oooh rt google launch major new social network called circles possibly today,Google,No emotion toward brand or product,sxsw oooh rt google launch major new social network called circle possibly today,0.05804924242424242
35,best rt ha first line ipad2 sxsw quotpopupquot apple store event planner eventprofs pcma engage365,Apple,No emotion toward brand or product,best rt ha first line ipad2 sxsw quotpopupquot apple store event planner eventprofs pcma engage365,0.625
36,spin play new concept music discovery ipad amp spincom itunes sxsw,Apple,Positive emotion,spin play new concept music discovery ipad amp spincom itunes sxsw,0.13636363636363635
37,false alarm google circles coming nowûòand probably ever google circles social sxsw,Google,No emotion toward brand or product,false alarm google circle coming nowûòand probably ever google circle social sxsw,-0.18333333333333338
38,vatornews google apple force print media evolve sxsw,Apple,Negative emotion,vatornews google apple force print medium evolve sxsw,0.0
39,great weather greet sxsw still need sweater nightapple putting quotflash storequot downtown sell ipad2,Apple,No emotion toward brand or product,great weather greet sxsw still need sweater nightapple putting quotflash storequot downtown sell ipad2,0.8
40,hootsuite hootsuite mobile sxsw updates iphone blackberry amp android whether youûªre getting friend,Google,Positive emotion,hootsuite hootsuite mobile sxsw update iphone blackberry amp android whether youûªre getting friend,0.0
41,hey sxsw long think takes us make iphone case answer using zazzlesxsw weûªll make one,Apple,No emotion toward brand or product,hey sxsw long think take u make iphone case answer using zazzlesxsw weûªll make one,-0.05
42,mashable ipad 2 takes sxsw video ipad sxsw gadgets,Apple,No emotion toward brand or product,mashable ipad 2 take sxsw video ipad sxsw gadget,0.0
43,ipad rt new ubersocial iphone app store includes uberguide sxsw sponsored,Apple,No emotion toward brand or product,ipad rt new ubersocial iphone app store includes uberguide sxsw sponsored,0.13636363636363635
44,ipad2 ûsmartcoverûª opens instant access waited get one apple sxsw,Apple,No emotion toward brand or product,ipad2 ûsmartcoverûª open instant access waited get one apple sxsw,0.0
45,handheld ûhoboûª drafthouse launches ûhobo shotgunûª iphone app sxsw,Apple,Positive emotion,handheld ûhoboûª drafthouse launch ûhobo shotgunûª iphone app sxsw,0.0
46,hooray rt ûïmention apple opening popup store austin sxsw,Apple,Positive emotion,hooray rt ûïmention apple opening popup store austin sxsw,0.0
47,orly ûïmention google set launch new social network circles today sxswû,Google,Positive emotion,orly ûïmention google set launch new social network circle today sxswû,0.08484848484848484
48,wooooo ûïmention apple store downtown austin open til midnight sxswû,Apple,No emotion toward brand or product,wooooo ûïmention apple store downtown austin open til midnight sxswû,0.0
49,khoi vinh mention says conde nasts headlong rush ipad publishing quotfundamental misunderstandingquot platform sxsw,Apple,Positive emotion,khoi vinh mention say conde nast headlong rush ipad publishing quotfundamental misunderstandingquot platform sxsw,0.0
50,ûïmention lt help forward doc anonymous accounts techiesamp ppl help us jam libya sxsw,Others,No emotion toward brand or product,ûïmention lt help forward doc anonymous account techiesamp ppl help u jam libya sxsw,0.0
51,¼ ã_ edchat musedchat sxsw sxswi classical newtwitter,Others,No emotion toward brand or product,¼ ã_ edchat musedchat sxsw sxswi classical newtwitter,0.0
52,locationbased fast fun future via sxsw,Others,No emotion toward brand or product,locationbased fast fun future via sxsw,0.16666666666666666
53,ûïmention google connect digital amp physical worlds mobile sxswû,Google,No emotion toward brand or product,ûïmention google connect digital amp physical world mobile sxswû,0.0
54,ûïmention talking googles effort allow users open systems bettercloud sxswû,Google,No emotion toward brand or product,ûïmention talking google effort allow user open system bettercloud sxswû,0.0
55,rt quotgoogle tweetquot new quotthink speakquot mark belinsky 911tweets panel sxsw,Google,Positive emotion,rt quotgoogle tweetquot new quotthink speakquot mark belinsky 911tweets panel sxsw,0.13636363636363635
56,rt 1st stop sxsw chaos amp hunt austin java get spy game 4 chance 2 win ipad,Apple,No emotion toward brand or product,rt 1st stop sxsw chaos amp hunt austin java get spy game 4 chance 2 win ipad,0.2
57,rt sxsw check holler gram ipad app,Apple,Positive emotion,rt sxsw check holler gram ipad app,0.0
58,amp fun google pic sxsw,Google,No emotion toward brand or product,amp fun google pic sxsw,0.3
59,quotvia guy kawasaki talks enchanted sxsw knows stuff books internet apple sxsw quot,Apple,No emotion toward brand or product,quotvia guy kawasaki talk enchanted sxsw know stuff book internet apple sxsw quot,0.0
60,futuremf spec recipes web google search sxsw,Google,No emotion toward brand or product,futuremf spec recipe web google search sxsw,0.0
61,omfg rt heard apples popup store downtown austin pics already gowalla sxsw ipad2,Apple,No emotion toward brand or product,omfg rt heard apple popup store downtown austin pic already gowalla sxsw ipad2,0.0
62,smile rt think apples quotpopup storequot austin would lot interesting actually know popped sxsw,Apple,Positive emotion,smile rt think apple quotpopup storequot austin would lot interesting actually know popped sxsw,0.26666666666666666
63,rt line apple store insane sxsw,Apple,No emotion toward brand or product,rt line apple store insane sxsw,-1.0
64,agree rt wait fiona apple town somebody kidnap put recording studio records new album sxsw,Apple,Negative emotion,agree rt wait fiona apple town somebody kidnap put recording studio record new album sxsw,0.13636363636363635
65,sxsw wanna buy drink 7pm fado 4th join us,Others,No emotion toward brand or product,sxsw wanna buy drink 7pm fado 4th join u,0.0
66,attending ipad design headaches sxsw,Apple,No emotion toward brand or product,attending ipad design headache sxsw,0.0
67,boooo rt flipboard developing iphone version android says sxsw,Google,Negative emotion,boooo rt flipboard developing iphone version android say sxsw,0.0
68,check amp line ipad 2 austin power sxswi sxsw,Apple,Negative emotion,check amp line ipad 2 austin power sxswi sxsw,0.0
69,check rt giving added value location based services needs battle checkin fatigue google pnid sxsw,Google,Positive emotion,check rt giving added value location based service need battle checkin fatigue google pnid sxsw,0.0
70,chilcott sxsw stand talking blogger staff late win competition best tweet mentioning tshirt,Others,No emotion toward brand or product,chilcott sxsw stand talking blogger staff late win competition best tweet mentioning tshirt,0.5
71,rt come party w google tonight sxsw bands food art ice cream nifty interactive maps,Google,No emotion toward brand or product,rt come party w google tonight sxsw band food art ice cream nifty interactive map,0.0
72,gowallas promises launch foursquare checkin groupon rewardstype service sxsw fingers crossed,Google,Positive emotion,gowallas promise launch foursquare checkin groupon rewardstype service sxsw finger crossed,0.0
73,haha rt sxsw news yahoocom loosing search traffic new site googlecom doubt last tho w weird name,Google,No emotion toward brand or product,haha rt sxsw news yahoocom loosing search traffic new site googlecom doubt last tho w weird name,-0.04090909090909091
74,holla rt google party best ever get butt sxsw,Google,No emotion toward brand or product,holla rt google party best ever get butt sxsw,1.0
75,love iphone case sxsw cant get phone fail,Apple,Positive emotion,love iphone case sxsw cant get phone fail,0.0
76,worship sxsw,Apple,Positive emotion,worship sxsw,0.0
77,ipad2 rt droid amp mac rt agnerd confession using laptop ipad amp blackberry follow sxsw,Apple,No emotion toward brand or product,ipad2 rt droid amp mac rt agnerd confession using laptop ipad amp blackberry follow sxsw,0.0
78,launching sxsw rt denies social network called circles debut today despite report,Others,No emotion toward brand or product,launching sxsw rt denies social network called circle debut today despite report,0.03333333333333333
79,new post iphone app makes easy connect social networks people meet sxsw,Apple,No emotion toward brand or product,new post iphone app make easy connect social network people meet sxsw,0.201010101010101
80,nice iphone app behaving today crashes yesterday ridiculous sxsw,Apple,Positive emotion,nice iphone app behaving today crash yesterday ridiculous sxsw,0.13333333333333333
81,nice rt apple opening popup store ipad launch downtown austin sxsw via,Apple,Positive emotion,nice rt apple opening popup store ipad launch downtown austin sxsw via,0.6
82,nice rt hey apple fans get peek space thats slated popup sxsw apple store tomorrow,Apple,No emotion toward brand or product,nice rt hey apple fan get peek space thats slated popup sxsw apple store tomorrow,0.6
83,one thing great get great earth face google company love sxsw sxwsi,Google,Positive emotion,one thing great get great earth face google company love sxsw sxwsi,0.7000000000000001
84,stay tune showcase h4ckers sxsw,Google,Positive emotion,stay tune showcase h4ckers sxsw,0.0
85,thank touchingstories preso sxsw heres deck,Others,No emotion toward brand or product,thank touchingstories preso sxsw here deck,0.0
86,thank awesome sxsw party,Others,No emotion toward brand or product,thank awesome sxsw party,1.0
87,thanks rt youre trying contact friends family japan created person finder sxsw,Others,No emotion toward brand or product,thanks rt youre trying contact friend family japan created person finder sxsw,0.2
88,thanks mention new speech ipad apps showcased sxsw conf sxswh sxsh,Apple,No emotion toward brand or product,thanks mention new speech ipad apps showcased sxsw conf sxswh sxsh,0.16818181818181818
89,thanks publishing news new medical apps sxswi conf blog sxsw sxswh,Apple,Positive emotion,thanks publishing news new medical apps sxswi conf blog sxsw sxswh,0.11212121212121212
90,thanks publishing news new medical apps sxswi conf blog sxsw sxswh mhealth,Others,I can't tell,thanks publishing news new medical apps sxswi conf blog sxsw sxswh mhealth,0.11212121212121212
91,sxsw provide iphone chargers ive changed mind going next year,Apple,No emotion toward brand or product,sxsw provide iphone charger ive changed mind going next year,0.0
92,wonder amp apple flashmob tcrnchfcs45j sxsw ipad2,Apple,Negative emotion,wonder amp apple flashmob tcrnchfcs45j sxsw ipad2,0.0
93,wonder putting tips api sxsw suxsw,Others,No emotion toward brand or product,wonder putting tip api sxsw suxsw,0.0
94,xmas rt shiny new apps new book popup ipad 2 stores sxsw christmas nerds,Apple,No emotion toward brand or product,xmas rt shiny new apps new book popup ipad 2 store sxsw christmas nerd,0.13636363636363635
95,yai rt new ubersocial iphone app store includes uberguide sxsw sponsored cont,Apple,Positive emotion,yai rt new ubersocial iphone app store includes uberguide sxsw sponsored cont,0.13636363636363635
96,yes rt hey ive got another gem gt free sxsw sxsw,Apple,Positive emotion,yes rt hey ive got another gem gt free sxsw sxsw,0.4
97,fast fun amp future google presenting sxsw search local mobile,Google,No emotion toward brand or product,fast fun amp future google presenting sxsw search local mobile,0.125
98,gsdampm amp googles industry party tonight see u sxsw austin welivehere gsdm,Google,Positive emotion,gsdampm amp google industry party tonight see u sxsw austin welivehere gsdm,0.0
99,new buzz quotmention google launch major new social network called circles possibly today rt sxswquot,Google,No emotion toward brand or product,new buzz quotmention google launch major new social network called circle possibly today rt sxswquot,0.0737121212121212
100,headline quotipad 2 musthave gadget sxswquot hmm could seen one coming gadget,Apple,No emotion toward brand or product,headline quotipad 2 musthave gadget sxswquot hmm could seen one coming gadget,0.0
101,ûïmention quotapple opened popup store austin nerds town sxsw get new ipads wow,Apple,Positive emotion,ûïmention quotapple opened popup store austin nerd town sxsw get new ipads wow,0.11818181818181818
102,know quotdatavizquot translates quotsatanicquot iphone im sayin sxsw,Apple,I can't tell,know quotdatavizquot translates quotsatanicquot iphone im sayin sxsw,0.0
103,quotgoogle launched checkins month agoquot check ins ok check outs future sxsw bizzy,Google,Negative emotion,quotgoogle launched checkins month agoquot check in ok check out future sxsw bizzy,0.25
104,quotgoogle launched checkins month agoquot check ins ok check outs future sxsw bizzy via,Google,Positive emotion,quotgoogle launched checkins month agoquot check in ok check out future sxsw bizzy via,0.25
105,ûïmention quotgoogle tweetquot new quotthink speakquot mark belinsky 911tweets panel sxswû,Google,No emotion toward brand or product,ûïmention quotgoogle tweetquot new quotthink speakquot mark belinsky 911tweets panel sxswû,0.13636363636363635
106,attending quotleft brain search google right brain search xquot bettersearch talking future search engines sxsw,Google,Positive emotion,attending quotleft brain search google right brain search xquot bettersearch talking future search engine sxsw,0.14285714285714285
107,hp opens quotmobile parkquot amp content incubator sxsw apple constructs quotpopupquot store,Apple,No emotion toward brand or product,hp open quotmobile parkquot amp content incubator sxsw apple construct quotpopupquot store,0.0
108,kawasaki quotnot cs lewis level reasoning apples continued existence evidence existence godquot bawling sxsw,Apple,No emotion toward brand or product,kawasaki quotnot c lewis level reasoning apple continued existence evidence existence godquot bawling sxsw,0.0
109,kawasaki quotpagemaker saved applequot oh days sxsw jwtatl enchantment,Apple,Positive emotion,kawasaki quotpagemaker saved applequot oh day sxsw jwtatl enchantment,0.0
110,kawasaki quotpagemaker saved applequot oh days sxsw jwtatl enchantment via,Apple,No emotion toward brand or product,kawasaki quotpagemaker saved applequot oh day sxsw jwtatl enchantment via,0.0
111,spark android teamandroid award sxsw read,Google,Positive emotion,spark android teamandroid award sxsw read,0.0
112,unboxing apple sxsw apple store sxsw,Apple,Positive emotion,unboxing apple sxsw apple store sxsw,0.0
113,sxsw apple ipad 2s great thoughts w japan apac regions dealing w earthquake amp tsunami trauma sxswi,Apple,No emotion toward brand or product,sxsw apple ipad 2 great thought w japan apac region dealing w earthquake amp tsunami trauma sxswi,0.8
114,sxsw apple schools marketing experts sxsw cnet blogs,Apple,Positive emotion,sxsw apple school marketing expert sxsw cnet blog,0.0
115,sxsw apple schools marketing experts,Apple,No emotion toward brand or product,sxsw apple school marketing expert,0.0
116,sxsw apple schools marketing experts,Apple,Positive emotion,sxsw apple school marketing expert,0.0
117,temporary apple store def tent powerhouse gym sxsw,Apple,No emotion toward brand or product,temporary apple store def tent powerhouse gym sxsw,0.0
118,temporary apple store 6th congress sxsw along 10000 happy hipsters,Apple,Positive emotion,temporary apple store 6th congress sxsw along 10000 happy hipster,0.8
119,ûïmention apple wins sxsw opening temporary store downtown austin support ipad2 launch good,Apple,Positive emotion,ûïmention apple win sxsw opening temporary store downtown austin support ipad2 launch good,0.75
120,ipad austin trending today fun sxsw nerdy nerds,Apple,Positive emotion,ipad austin trending today fun sxsw nerdy nerd,0.3
121,headed austin sxsw check map newbies enjoy,Apple,Positive emotion,headed austin sxsw check map newbie enjoy,0.4
122,funny austin trending sxsw matter minutes point least according twitter iphone,Apple,No emotion toward brand or product,funny austin trending sxsw matter minute point least according twitter iphone,-0.024999999999999994
123,christian ipad iphone devs want talk u sxsw maybe wk together cool app,Apple,No emotion toward brand or product,christian ipad iphone devs want talk u sxsw maybe wk together cool app,0.175
124,sxsw ux ipad uxdes remember ultimately aware audience app targeted towards unexpected experience good,Apple,Positive emotion,sxsw ux ipad uxdes remember ultimately aware audience app targeted towards unexpected experience good,0.3499999999999999
125,apple ipad2 taken sxsw austin storm excited part mobile,Apple,No emotion toward brand or product,apple ipad2 taken sxsw austin storm excited part mobile,0.375
126,haz ipad2 ifrom sxsw gr8,Apple,Positive emotion,haz ipad2 ifrom sxsw gr8,0.0
127,stacks ipad2s waiting bought sxsw got mine hassle apple handled perfectly,Apple,Positive emotion,stack ipad2s waiting bought sxsw got mine hassle apple handled perfectly,1.0
128,googles mobile future elusive power via eurorscg sxsw sxswi,Google,Positive emotion,google mobile future elusive power via eurorscg sxsw sxswi,0.0
129,notatsxsw sxsw heres free download meet nearby peps,Others,No emotion toward brand or product,notatsxsw sxsw here free download meet nearby pep,0.4
130,smallbiz need reviews play google placeswe got app thatlink seo sxsw,Google,No emotion toward brand or product,smallbiz need review play google placeswe got app thatlink seo sxsw,0.0
131,smallbiz need reviews play google placeswe got app thatlink seo sxsw,Google,Positive emotion,smallbiz need review play google placeswe got app thatlink seo sxsw,0.0
132,samsung sony follow apple hp lead austin atx sxsw,Apple,No emotion toward brand or product,samsung sony follow apple hp lead austin atx sxsw,0.0
133,samsung sony follow apple hp lead austin atx sxsw via rg,Apple,No emotion toward brand or product,samsung sony follow apple hp lead austin atx sxsw via rg,0.0
134,take sxsw rt major south korean director gets 130000 make movie entirely iphone,Apple,No emotion toward brand or product,take sxsw rt major south korean director get 130000 make movie entirely iphone,0.03125
135,beautiful sxsw mention apple store sxsw pic,Apple,Positive emotion,beautiful sxsw mention apple store sxsw pic,0.85
136,q1 sxsw sxswi prep amazing pre push locally focus location based google owns 10 regions billboards pr20chat,Google,Positive emotion,q1 sxsw sxswi prep amazing pre push locally focus location based google owns 10 region billboard pr20chat,0.30000000000000004
137,sxsw accounts need follow apps download iphone,Apple,No emotion toward brand or product,sxsw account need follow apps download iphone,0.0
138,headed sxsw want sharegather contact info turn iphone business card broadcaster,Apple,No emotion toward brand or product,headed sxsw want sharegather contact info turn iphone business card broadcaster,0.0
139,headed sxsw want sharegather contact info turn iphone,Apple,No emotion toward brand or product,headed sxsw want sharegather contact info turn iphone,0.0
140,btw sxsw apple store sold 3g models vzw amp atampt,Apple,No emotion toward brand or product,btw sxsw apple store sold 3g model vzw amp atampt,0.0
141,must sxsw app rt lovely review forbes sxsw ipad app holler gram,Apple,No emotion toward brand or product,must sxsw app rt lovely review forbes sxsw ipad app holler gram,0.5
142,temporary sxsw apple store apple sneaky usual,Apple,Positive emotion,temporary sxsw apple store apple sneaky usual,-0.25
143,anyone sxsw popup apple store austin thats gotta hopping place today,Apple,Positive emotion,anyone sxsw popup apple store austin thats gotta hopping place today,0.0
144,ûïmention sxsw beta testing interactive book ipad app moonbot studios louisiana cool appû,Apple,No emotion toward brand or product,ûïmention sxsw beta testing interactive book ipad app moonbot studio louisiana cool appû,0.35
145,apple sxsw day one seeing ton ipad2,Apple,Positive emotion,apple sxsw day one seeing ton ipad2,0.0
146,fastball sxsw giving away two new ipad2 wifi 32g black apple cover tweet fo info sxswi attsxsw tonight bolt house,Apple,Positive emotion,fastball sxsw giving away two new ipad2 wifi 32g black apple cover tweet fo info sxswi attsxsw tonight bolt house,-0.015151515151515152
147,anyone sxsw chance check popup apple store wondering worth trek convention center,Apple,No emotion toward brand or product,anyone sxsw chance check popup apple store wondering worth trek convention center,0.09999999999999999
148,ûïmention sxsw ipad store sold everything except 64gig wifi whiteû manage get,Apple,No emotion toward brand or product,ûïmention sxsw ipad store sold everything except 64gig wifi whiteû manage get,0.0
149,ûïmention sxsw ipad store sold everything except 64gig wifi whiteû also known white jeans configuration,Apple,Positive emotion,ûïmention sxsw ipad store sold everything except 64gig wifi whiteû also known white jean configuration,0.0
150,offered sxsw ipad promo ninjafinder users fans sxsw sucks sxsw,Apple,Positive emotion,offered sxsw ipad promo ninjafinder user fan sxsw suck sxsw,0.0
151,sxsw austin conference google search interactive music film,Google,Positive emotion,sxsw austin conference google search interactive music film,0.0
152,anyone sxsw know apple selling ipad 2,Apple,No emotion toward brand or product,anyone sxsw know apple selling ipad 2,0.0
153,anyone sxsw know apple store new shipment ipads yet,Apple,No emotion toward brand or product,anyone sxsw know apple store new shipment ipads yet,0.13636363636363635
154,marc ecko sxsw launches iphone app autodial political change edreform edtech eduvc fightthepaddle,Apple,No emotion toward brand or product,marc ecko sxsw launch iphone app autodial political change edreform edtech eduvc fightthepaddle,0.0
155,poursite sxsw learning lifechanging impact ipad real peoples actual lives bravo,Apple,No emotion toward brand or product,poursite sxsw learning lifechanging impact ipad real people actual life bravo,0.1
156,sxsw lonelyplanet austin guide iphone free limited time lp travel,Apple,Positive emotion,sxsw lonelyplanet austin guide iphone free limited time lp travel,0.1642857142857143
157,free sxsw mp3 downloads time itunes,Apple,Positive emotion,free sxsw mp3 downloads time itunes,0.4
158,anyone sxsw heading aclu event seen owt google circles,Google,No emotion toward brand or product,anyone sxsw heading aclu event seen owt google circle,0.0
159,sxsw prompt memory go google map describe childhood walk,Google,No emotion toward brand or product,sxsw prompt memory go google map describe childhood walk,0.0
160,apple sxsw store still ipad 2s short lines,Apple,No emotion toward brand or product,apple sxsw store still ipad 2 short line,0.0
161,essential sxsw tools,Apple,Positive emotion,essential sxsw tool,0.0
162,left sxsw tradeshow demo google theatre ok get see presenters using,Google,No emotion toward brand or product,left sxsw tradeshow demo google theatre ok get see presenter using,0.25
163,following sxsw tweets google realtime four platforms tweet deck listening panel realizing im spoken one today,Google,Positive emotion,following sxsw tweet google realtime four platform tweet deck listening panel realizing im spoken one today,0.0
164,anyone sxsw want ipad 2 im line pick one someone willing pay 50 grab 1,Apple,No emotion toward brand or product,anyone sxsw want ipad 2 im line pick one someone willing pay 50 grab 1,0.25
165,anyone sxsw want make quick hundred dollars new ipad2 ad hoc apple store gets hundred plus cost,Apple,No emotion toward brand or product,anyone sxsw want make quick hundred dollar new ipad2 ad hoc apple store get hundred plus cost,0.23484848484848483
166,solving sxswinduced iphoneintoilet crisis apple store crisis,Apple,Positive emotion,solving sxswinduced iphoneintoilet crisis apple store crisis,0.0
167,monday sxsw barry diller new york times congress lunch w hotel party google party six dirty martinis mondays,Google,No emotion toward brand or product,monday sxsw barry diller new york time congress lunch w hotel party google party six dirty martini monday,-0.2318181818181818
168,attending sxsw austin guide free download itunes lp,Apple,Positive emotion,attending sxsw austin guide free download itunes lp,0.4
169,seriously sxsw testing mobile apps constant ipad crashes causing lost schedules sync wp7,Apple,No emotion toward brand or product,seriously sxsw testing mobile apps constant ipad crash causing lost schedule sync wp7,-0.16666666666666666
170,ready sxsw iphone apps 2 make ur blogging easier sxsw sxswi,Apple,Negative emotion,ready sxsw iphone apps 2 make ur blogging easier sxsw sxswi,0.2
171,ipad2 sxswa conflagration doofusness,Apple,Positive emotion,ipad2 sxswa conflagration doofusness,0.0
172,attention sxswers rumored popup temporary apple store sxsw ipad 2 launch needs,Apple,Negative emotion,attention sxswers rumored popup temporary apple store sxsw ipad 2 launch need,0.0
173,went sxswi lousy ipad sxsw,Apple,Positive emotion,went sxswi lousy ipad sxsw,-0.5
174,hey sxsw sxswi folks want learn security come bsidesaustin,Apple,Positive emotion,hey sxsw sxswi folk want learn security come bsidesaustin,0.0
175,attending sxswi work iphone ipad game development looking hire austinbased ios developer im man lets talk sxsw,Apple,No emotion toward brand or product,attending sxswi work iphone ipad game development looking hire austinbased io developer im man let talk sxsw,-0.4
176,winning picture android google sxsw,Google,No emotion toward brand or product,winning picture android google sxsw,0.5
177,gsdampm google 710 rt whats best party hit tonight sxsw,Google,Positive emotion,gsdampm google 710 rt whats best party hit tonight sxsw,1.0
178,gsdampm google industry party sxsw great meet,Google,No emotion toward brand or product,gsdampm google industry party sxsw great meet,0.8
179,spent 1000 come sxsw youve already used ipad 1 wait couple city blocks ipad2 sxsw,Apple,No emotion toward brand or product,spent 1000 come sxsw youve already used ipad 1 wait couple city block ipad2 sxsw,-0.1
180,sxsw day 1 marissa mayer google connect digital amp physical worlds mobile,Google,Negative emotion,sxsw day 1 marissa mayer google connect digital amp physical world mobile,0.0
181,behind 100s emails give 1 line iphone composed replies sxsw protip,Apple,No emotion toward brand or product,behind 100 email give 1 line iphone composed reply sxsw protip,-0.4
182,like 10pm night line around block popup apple stores selling ipad2s sxsw,Apple,Positive emotion,like 10pm night line around block popup apple store selling ipad2s sxsw,0.0
183,1154 free songs sxsw year alone,Apple,Positive emotion,1154 free song sxsw year alone,0.4
184,150 million mobile users google maps mobile sxsw,Google,No emotion toward brand or product,150 million mobile user google map mobile sxsw,0.0
185,currently 150 people line quotpop apple storequot sxsw,Apple,No emotion toward brand or product,currently 150 people line quotpop apple storequot sxsw,0.0
186,ipad 2 available sxsw 64gb wifionly model 699 plus optional leather smart cover 69,Apple,No emotion toward brand or product,ipad 2 available sxsw 64gb wifionly model 699 plus optional leather smart cover 69,0.30714285714285716
187,¼ love 2 entertain youû_please donûªt grateful ã_ edchat musedchat sxsw sxswi classical newtwitter,Others,No emotion toward brand or product,¼ love 2 entertain youû_please donûªt grateful ã_ edchat musedchat sxsw sxswi classical newtwitter,0.25
188,less 2 hours announce details ipad 2 giveaway sxsw sxswi,Apple,No emotion toward brand or product,le 2 hour announce detail ipad 2 giveaway sxsw sxswi,0.0
189,im 2 ipad 2s seen wild people say fast still pics terrible sxsw,Apple,No emotion toward brand or product,im 2 ipad 2 seen wild people say fast still pic terrible sxsw,-0.2333333333333333
190,ipad 2 queue sxsw course,Apple,Negative emotion,ipad 2 queue sxsw course,0.0
